\N	01	12	15	18	44	42	2003-12-05
\N	04	14	15	24	48	41	2003-12-09
\N	16	24	31	46	47	47	2003-12-16
\N	05	10	17	35	39	38	2003-12-19
\N	02	13	21	22	49	52	2003-12-23
\N	01	10	17	20	29	36	2003-12-26
\N	12	18	21	32	46	49	2003-12-30
\N	07	08	36	44	48	09	2004-01-02
\N	07	13	15	25	32	09	2004-01-06
\N	24	32	38	47	49	12	2004-01-09
\N	03	17	18	21	45	21	2004-01-13
\N	12	26	41	44	49	44	2004-01-16
\N	05	07	14	21	45	36	2004-01-20
\N	10	18	33	46	51	13	2004-01-23
\N	06	10	20	38	50	27	2004-01-27
\N	17	28	30	40	51	44	2004-01-30
\N	09	21	26	35	41	17	2004-02-03
\N	01	06	16	30	49	13	2004-02-06
\N	03	07	10	22	32	23	2004-02-10
\N	14	30	42	43	45	30	2004-02-13
\N	02	08	34	36	52	21	2004-02-17
\N	01	13	20	21	30	24	2004-02-20
\N	06	11	43	49	52	21	2004-02-24
\N	02	09	24	36	52	44	2004-02-27
\N	25	30	35	40	50	04	2004-03-02
\N	30	40	47	49	52	03	2004-03-05
\N	16	23	29	36	51	49	2004-03-09
\N	04	29	32	35	36	11	2004-03-12
\N	03	28	45	49	51	52	2004-03-16
\N	06	09	14	32	50	04	2004-03-19
\N	12	22	35	39	46	32	2004-03-23
\N	08	10	17	37	49	20	2004-03-26
\N	03	27	31	41	45	33	2004-03-30
\N	08	17	25	46	47	13	2004-04-02
\N	08	17	29	32	39	49	2004-04-06
\N	02	08	10	11	23	40	2004-04-09
\N	13	36	39	50	51	34	2004-04-13
\N	06	24	29	42	51	41	2004-04-16
\N	12	22	37	46	48	49	2004-04-20
\N	08	22	25	47	48	27	2004-04-23
\N	01	10	17	23	35	45	2004-04-27
\N	15	21	32	39	50	34	2004-04-30
\N	03	15	29	37	39	40	2004-05-04
\N	14	17	19	44	50	17	2004-05-07
\N	09	25	30	34	37	30	2004-05-11
\N	10	19	32	36	46	06	2004-05-14
\N	02	36	44	46	51	45	2004-05-18
\N	04	20	27	38	49	31	2004-05-21
\N	05	18	34	36	39	43	2004-05-25
\N	13	27	36	39	51	33	2004-05-28
\N	07	16	17	26	48	15	2004-06-01
\N	04	16	18	41	47	46	2004-06-04
\N	17	24	29	37	45	43	2004-06-08
\N	12	28	36	39	52	36	2004-06-11
\N	18	23	27	29	44	24	2004-06-15
\N	07	10	11	15	51	23	2004-06-18
\N	09	10	17	41	52	19	2004-06-22
\N	18	19	29	32	42	32	2004-06-25
\N	10	13	19	28	38	01	2004-06-29
\N	10	25	38	39	50	12	2004-07-02
\N	06	07	08	31	48	19	2004-07-06
\N	11	23	25	29	45	16	2004-07-09
\N	13	31	37	39	52	38	2004-07-13
\N	03	21	22	35	44	07	2004-07-16
\N	06	15	21	32	44	13	2004-07-20
\N	05	12	25	35	37	12	2004-07-23
\N	08	10	11	13	24	46	2004-07-27
\N	16	19	21	34	35	22	2004-07-30
\N	01	02	13	16	22	31	2004-08-03
\N	04	23	33	38	49	07	2004-08-06
\N	18	25	29	31	44	33	2004-08-10
\N	14	31	41	45	48	20	2004-08-13
\N	22	23	26	28	36	10	2004-08-17
\N	12	17	34	37	39	34	2004-08-20
\N	02	05	21	47	50	46	2004-08-24
\N	05	25	38	46	47	14	2004-08-27
\N	14	15	25	42	44	03	2004-08-31
\N	04	14	34	38	44	10	2004-09-03
\N	13	30	36	38	51	35	2004-09-07
\N	11	17	27	45	52	05	2004-09-10
\N	12	35	37	38	50	49	2004-09-14
\N	03	16	25	38	49	04	2004-09-17
\N	01	03	15	19	29	39	2004-09-21
\N	11	26	30	49	50	52	2004-09-24
\N	01	18	39	42	50	35	2004-09-28
\N	08	10	17	24	39	52	2004-10-01
\N	08	34	39	48	49	47	2004-10-05
\N	16	17	21	33	41	06	2004-10-08
\N	04	18	19	39	51	13	2004-10-12
\N	04	08	24	30	36	25	2004-10-15
\N	06	13	19	34	50	33	2004-10-19
\N	03	07	20	24	43	36	2004-10-22
\N	14	25	39	43	49	27	2004-10-26
\N	10	18	26	31	41	48	2004-10-29
\N	24	32	42	49	50	03	2004-11-02
\N	03	29	30	41	43	01	2004-11-05
\N	11	20	26	28	52	07	2004-11-09
\N	05	31	33	35	51	01	2004-11-12
\N	09	10	27	28	30	18	2004-11-16
\N	01	12	24	36	51	38	2004-11-19
\N	08	30	32	35	51	17	2004-11-23
\N	07	09	18	37	43	34	2004-11-26
\N	10	20	22	28	52	04	2004-11-30
\N	12	32	37	41	52	13	2004-12-03
\N	01	19	22	32	49	29	2004-12-07
\N	22	23	37	42	47	15	2004-12-10
\N	14	27	32	34	40	02	2004-12-14
\N	16	34	38	42	47	01	2004-12-17
\N	07	22	27	31	38	12	2004-12-21
\N	09	20	22	41	42	10	2004-12-24
\N	18	29	32	38	43	50	2004-12-28
\N	10	14	45	47	51	20	2004-12-31
\N	03	06	07	12	32	30	2005-01-04
\N	02	08	14	15	51	38	2005-01-07
\N	02	23	24	35	45	18	2005-01-11
\N	15	19	24	40	47	50	2005-01-14
\N	10	23	28	39	51	05	2005-01-18
\N	17	27	39	40	41	21	2005-01-21
\N	02	10	21	25	45	22	2005-01-25
\N	25	31	39	47	52	43	2005-01-28
\N	03	17	21	42	44	35	2005-02-01
\N	03	12	14	30	52	34	2005-02-04
\N	08	11	14	23	25	21	2005-02-08
\N	06	14	21	24	50	28	2005-02-11
